epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.03050939552485943,2.222785234451294,4.0,0.003
9,0.028549177572131157,2.215134859085083,4.0,0.003
14,0.029022762551903725,2.215113639831543,4.0,0.003
19,0.029732225462794304,2.2135109901428223,4.0,0.003
24,0.02932881750166416,2.210357904434204,4.0,0.003
29,0.029054349288344383,2.2125942707061768,4.0,0.003
34,0.029257353395223618,2.213534355163574,4.0,0.003
39,0.029256068170070648,2.2120511531829834,4.0,0.003
44,0.02900834009051323,2.2112033367156982,4.0,0.003
49,0.029230676591396332,2.2083561420440674,4.0,0.003
54,0.029360411688685417,2.208176612854004,4.0,0.003
59,0.029271667823195457,2.210249185562134,4.0,0.003
64,0.029215987771749496,2.210613965988159,4.0,0.003
69,0.029340794309973717,2.21142840385437,4.0,0.003
74,0.02922198735177517,2.209075689315796,4.0,0.003
79,0.029082059860229492,2.209874153137207,4.0,0.003
84,0.028919702395796776,2.2093687057495117,4.0,0.003
89,0.028908127918839455,2.2106924057006836,4.0,0.003
94,0.028946779668331146,2.2104392051696777,4.0,0.003
99,0.028767172247171402,2.209770441055298,4.0,0.003
