epoch,distortion_loss,perception_loss,rate,lambda
4,0.024923061951994896,0.9591006636619568,8.0,0.003
9,0.026017341762781143,1.3756103515625,8.0,0.003
14,0.02559281513094902,1.8280143737792969,8.0,0.003
19,0.024567488580942154,2.424253463745117,8.0,0.003
24,0.025584934279322624,2.2656471729278564,8.0,0.003
29,0.025302372872829437,2.298584461212158,8.0,0.003
34,0.024479573592543602,2.6190338134765625,8.0,0.003
39,0.024564683437347412,2.6490161418914795,8.0,0.003
44,0.02435937151312828,2.561479330062866,8.0,0.003
49,0.02440112829208374,2.615466594696045,8.0,0.003
54,0.024353891611099243,2.649210214614868,8.0,0.003
59,0.024521222338080406,2.587646961212158,8.0,0.003
64,0.02457772195339203,2.536207437515259,8.0,0.003
69,0.024453215301036835,2.6397902965545654,8.0,0.003
74,0.024465709924697876,2.599092483520508,8.0,0.003
79,0.024564044550061226,2.434674024581909,8.0,0.003
84,0.024324016645550728,2.5328922271728516,8.0,0.003
89,0.02453966811299324,2.57857608795166,8.0,0.003
94,0.024449119344353676,2.541382312774658,8.0,0.003
99,0.024753155186772346,2.474053144454956,8.0,0.003
