epoch,distortion_loss,accuracy,rate,lambda
4,0.021475236862897873,0.3596727105101414,16.0,0.003
9,0.021168433129787445,0.4226720958819914,16.0,0.003
14,0.022250507026910782,0.46296865396435155,16.0,0.003
19,0.02091997303068638,0.5007682851874616,16.0,0.003
24,0.02078656665980816,0.5454056545789797,16.0,0.003
29,0.020518770441412926,0.5552397049784881,16.0,0.003
34,0.020834021270275116,0.5850875845113707,16.0,0.003
39,0.020561162382364273,0.5915027658266748,16.0,0.003
44,0.020558346062898636,0.6086355255070682,16.0,0.003
49,0.020556926727294922,0.6236939151813153,16.0,0.003
54,0.020422102883458138,0.6217732022126613,16.0,0.003
59,0.020401185378432274,0.6286877688998156,16.0,0.003
64,0.020648084580898285,0.630838967424708,16.0,0.003
69,0.020528865978121758,0.6372157344806392,16.0,0.003
74,0.0205749049782753,0.6279194837123541,16.0,0.003
79,0.02054888755083084,0.6306853103872158,16.0,0.003
84,0.020477160811424255,0.635141364474493,16.0,0.003
89,0.0206310898065567,0.6405961893054702,16.0,0.003
94,0.020539607852697372,0.636639520590043,16.0,0.003
99,0.02066788636147976,0.6363322065150584,16.0,0.003
