epoch,distortion_loss,accuracy,rate,lambda
4,0.017338963225483894,0.37845728334357714,120.0,0.03
9,0.014803789556026459,0.5271972956361402,120.0,0.03
14,0.018549449741840363,0.544560540872772,120.0,0.03
19,0.015867281705141068,0.606599569760295,120.0,0.03
24,0.018038811162114143,0.5912722802704364,120.0,0.03
29,0.014681830070912838,0.5653810694529809,120.0,0.03
34,0.016948141157627106,0.6023740012292563,120.0,0.03
39,0.015681851655244827,0.6359864781807006,120.0,0.03
44,0.01424899511039257,0.6459741856177013,120.0,0.03
49,0.013958078809082508,0.6457052858020897,120.0,0.03
54,0.014064237475395203,0.6528887523048555,120.0,0.03
59,0.014222763478755951,0.6604179471419791,120.0,0.03
64,0.014267104677855968,0.666641057160418,120.0,0.03
69,0.013936898671090603,0.6755147510755992,120.0,0.03
74,0.014014026150107384,0.6661032575291949,120.0,0.03
79,0.013978550210595131,0.6706745543945912,120.0,0.03
84,0.013516387902200222,0.6791641057160418,120.0,0.03
89,0.013569390401244164,0.6724031960663799,120.0,0.03
94,0.013335389085114002,0.6891902274124155,120.0,0.03
99,0.01329515129327774,0.6800860479409957,120.0,0.03
