epoch,distortion_loss,accuracy,rate,lambda
4,0.016696766018867493,0.41337584511370623,100.0,0.03
9,0.014259226620197296,0.5363014751075599,100.0,0.03
14,0.013769281096756458,0.6082897971727105,100.0,0.03
19,0.014238376170396805,0.6175860479409957,100.0,0.03
24,0.01581837423145771,0.6224646588813768,100.0,0.03
29,0.0156012624502182,0.6198140749846343,100.0,0.03
34,0.014623480848968029,0.6462814996926859,100.0,0.03
39,0.014207364991307259,0.6509296250768285,100.0,0.03
44,0.01382653508335352,0.6620313460356484,100.0,0.03
49,0.013861089013516903,0.6566917639827904,100.0,0.03
54,0.013645173981785774,0.6764366933005531,100.0,0.03
59,0.013085998594760895,0.6821220036877689,100.0,0.03
64,0.013256356120109558,0.6881914566687154,100.0,0.03
69,0.01402268186211586,0.6699062692071297,100.0,0.03
74,0.013212650083005428,0.6861555009219422,100.0,0.03
79,0.013300353661179543,0.6893822987092809,100.0,0.03
84,0.01292940229177475,0.6885755992624463,100.0,0.03
89,0.013465601950883865,0.6849262446220037,100.0,0.03
94,0.013316147960722446,0.6946834665027658,100.0,0.03
99,0.013235658407211304,0.6922633681622619,100.0,0.03
