epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.016696766018867493,1.6993671655654907,100.0,0.03
9,0.014259226620197296,1.393613576889038,100.0,0.03
14,0.013769281096756458,1.17046320438385,100.0,0.03
19,0.014238376170396805,1.1725653409957886,100.0,0.03
24,0.01581837423145771,1.153161644935608,100.0,0.03
29,0.0156012624502182,1.1432502269744873,100.0,0.03
34,0.014623480848968029,1.0747947692871094,100.0,0.03
39,0.014207364991307259,1.0594843626022339,100.0,0.03
44,0.01382653508335352,1.0134676694869995,100.0,0.03
49,0.013861089013516903,1.0380815267562866,100.0,0.03
54,0.013645173981785774,0.9873827695846558,100.0,0.03
59,0.013085998594760895,0.9777953624725342,100.0,0.03
64,0.013256356120109558,0.9590190649032593,100.0,0.03
69,0.01402268186211586,1.010420799255371,100.0,0.03
74,0.013212650083005428,0.9683601260185242,100.0,0.03
79,0.013300353661179543,0.9512345194816589,100.0,0.03
84,0.01292940229177475,0.954156219959259,100.0,0.03
89,0.013465601950883865,0.9580491185188293,100.0,0.03
94,0.013316147960722446,0.9385644197463989,100.0,0.03
99,0.013235658407211304,0.9366774559020996,100.0,0.03
