epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.015244352631270885,1.5566890239715576,120.0,0.02
9,0.015245050191879272,1.1692914962768555,120.0,0.02
14,0.013619467616081238,1.0398348569869995,120.0,0.02
19,0.012662670575082302,0.9883683323860168,120.0,0.02
24,0.01317012682557106,0.9565007090568542,120.0,0.02
29,0.013421248644590378,0.9377384781837463,120.0,0.02
34,0.013360152021050453,0.8938814401626587,120.0,0.02
39,0.0126973707228899,0.9161308407783508,120.0,0.02
44,0.012652159668505192,0.8415716290473938,120.0,0.02
49,0.012689478695392609,0.8393446207046509,120.0,0.02
54,0.012366647832095623,0.8636255264282227,120.0,0.02
59,0.012418294325470924,0.8533791899681091,120.0,0.02
64,0.012418240308761597,0.8339648246765137,120.0,0.02
69,0.012589850462973118,0.813450276851654,120.0,0.02
74,0.012479415163397789,0.8487647771835327,120.0,0.02
79,0.01229703240096569,0.7982837557792664,120.0,0.02
84,0.01209451537579298,0.787911057472229,120.0,0.02
89,0.01210733875632286,0.7960250973701477,120.0,0.02
94,0.012190980836749077,0.8138989806175232,120.0,0.02
99,0.012633679434657097,0.804085373878479,120.0,0.02
