epoch,distortion_loss,perception_loss,rate,lambda
4,0.04679093509912491,-3.3343451023101807,120.0,0.035
9,0.037484489381313324,-2.653491258621216,120.0,0.035
14,0.07515157759189606,-2.9048500061035156,120.0,0.035
19,0.06583482027053833,-1.4875850677490234,120.0,0.035
24,0.0734730064868927,0.8211501836776733,120.0,0.035
29,0.02445431612432003,-0.7448621988296509,120.0,0.035
34,0.023831363767385483,-0.6055445075035095,120.0,0.035
39,0.016803929582238197,-0.8063397407531738,120.0,0.035
44,0.016769248992204666,-1.221640706062317,120.0,0.035
49,0.01629345305263996,-1.2890194654464722,120.0,0.035
54,0.015841975808143616,-1.3312946557998657,120.0,0.035
59,0.015210730955004692,-1.2852206230163574,120.0,0.035
64,0.015030229464173317,-1.1470651626586914,120.0,0.035
69,0.015448450110852718,-1.2254116535186768,120.0,0.035
74,0.015064094215631485,-1.1119760274887085,120.0,0.035
79,0.016063712537288666,-1.1786000728607178,120.0,0.035
84,0.01629413478076458,-1.0617361068725586,120.0,0.035
89,0.014476902782917023,-1.0989010334014893,120.0,0.035
94,0.014534863643348217,-0.9954405426979065,120.0,0.035
99,0.014922943897545338,-1.1302614212036133,120.0,0.035
