epoch,distortion_loss,perception_loss,rate,lambda
4,0.013002723455429077,-0.08221924304962158,24.0,0.001
9,0.01207035779953003,-0.13884957134723663,24.0,0.001
14,0.011059504933655262,-0.04018045961856842,24.0,0.001
19,0.010906320996582508,-0.0844784528017044,24.0,0.001
24,0.009798581711947918,-0.07862687110900879,24.0,0.001
29,0.009711779654026031,-0.10192414373159409,24.0,0.001
34,0.009577708318829536,-0.05711131542921066,24.0,0.001
39,0.009622134268283844,-0.11131739616394043,24.0,0.001
44,0.009495431557297707,-0.08248841017484665,24.0,0.001
49,0.00954133365303278,-0.07650851458311081,24.0,0.001
