epoch,distortion_loss,perception_loss,rate,lambda
4,0.01469582412391901,0.0937080979347229,20.0,0.001
9,0.014719762839376926,0.05469295382499695,20.0,0.001
14,0.013042150996625423,0.05848327651619911,20.0,0.001
19,0.012365973554551601,0.01681133545935154,20.0,0.001
24,0.011974570341408253,0.05810236558318138,20.0,0.001
29,0.01191149465739727,0.04081017151474953,20.0,0.001
34,0.011738323606550694,0.05222718417644501,20.0,0.001
39,0.01163093838840723,0.013890931382775307,20.0,0.001
44,0.011621200479567051,0.02955460362136364,20.0,0.001
49,0.011546215042471886,0.026199903339147568,20.0,0.001
