epoch,distortion_loss,accuracy, rate, lambda
4,0.027731813490390778,0.5969,8.0,0.001
9,0.02599310502409935,0.6364,8.0,0.001
14,0.02557864598929882,0.6459,8.0,0.001
19,0.024949656799435616,0.6657,8.0,0.001
24,0.024314675480127335,0.6644,8.0,0.001
29,0.02427702024579048,0.6594,8.0,0.001
34,0.02402190864086151,0.663,8.0,0.001
39,0.024107608944177628,0.6755,8.0,0.001
44,0.023906951770186424,0.6663,8.0,0.001
49,0.023948559537529945,0.6727,8.0,0.001
54,0.023947671055793762,0.6774,8.0,0.001
59,0.023858945816755295,0.6755,8.0,0.001
64,0.023936111479997635,0.6772,8.0,0.001
69,0.02388709783554077,0.674,8.0,0.001
74,0.023822380229830742,0.6765,8.0,0.001
79,0.023902345448732376,0.6807,8.0,0.001
84,0.023855989798903465,0.6738,8.0,0.001
89,0.023818282410502434,0.6766,8.0,0.001
94,0.02390523999929428,0.6721,8.0,0.001
99,0.023834465071558952,0.6785,8.0,0.001
