epoch,distortion_loss,cross_entropy_loss, rate, lambda
4,0.021675461903214455,1.005088448524475,12.0,0.001
9,0.020108474418520927,0.9094070196151733,12.0,0.001
14,0.019468165934085846,0.8394935131072998,12.0,0.001
19,0.01904553920030594,0.8023730516433716,12.0,0.001
24,0.018516795709729195,0.7950354814529419,12.0,0.001
29,0.01837996207177639,0.7804522514343262,12.0,0.001
34,0.01836949773132801,0.7813903093338013,12.0,0.001
39,0.01818234659731388,0.7819622755050659,12.0,0.001
44,0.01824367232620716,0.7633101344108582,12.0,0.001
49,0.018233470618724823,0.7664034962654114,12.0,0.001
54,0.01811613328754902,0.774138331413269,12.0,0.001
59,0.018215393647551537,0.7676000595092773,12.0,0.001
64,0.018202947452664375,0.7616246342658997,12.0,0.001
69,0.018207887187600136,0.7676548361778259,12.0,0.001
74,0.018203584477305412,0.7602482438087463,12.0,0.001
79,0.018107376992702484,0.7505250573158264,12.0,0.001
84,0.018267035484313965,0.762084424495697,12.0,0.001
89,0.018027950078248978,0.7592496275901794,12.0,0.001
94,0.01817004196345806,0.7579001784324646,12.0,0.001
99,0.01816241629421711,0.7594391703605652,12.0,0.001
