epoch, distortion_loss, perception_loss, rate, lambda
4,0.021675461903214455,0.7048746943473816,12.0,0.001
9,0.020108474418520927,0.49749499559402466,12.0,0.001
14,0.019468165934085846,0.4621303677558899,12.0,0.001
19,0.01904553920030594,0.35584503412246704,12.0,0.001
24,0.018516795709729195,0.3664858937263489,12.0,0.001
29,0.01837996207177639,0.34447649121284485,12.0,0.001
34,0.01836949773132801,0.3173063397407532,12.0,0.001
39,0.01818234659731388,0.2972801923751831,12.0,0.001
44,0.01824367232620716,0.32009750604629517,12.0,0.001
49,0.018233470618724823,0.3054266571998596,12.0,0.001
54,0.01811613328754902,0.30143263936042786,12.0,0.001
59,0.018215393647551537,0.2968524694442749,12.0,0.001
64,0.018202947452664375,0.31240373849868774,12.0,0.001
69,0.018207887187600136,0.3174895644187927,12.0,0.001
74,0.018203584477305412,0.3099818825721741,12.0,0.001
79,0.018107376992702484,0.30978912115097046,12.0,0.001
84,0.018267035484313965,0.2854652404785156,12.0,0.001
89,0.018027950078248978,0.29739388823509216,12.0,0.001
94,0.01817004196345806,0.27830591797828674,12.0,0.001
99,0.01816241629421711,0.2973436713218689,12.0,0.001
