epoch,distortion_loss,perception_loss,rate,lambda
4,0.04571555554866791,-1.7574665546417236,28.0,0.05
9,0.05212893709540367,-2.299431324005127,28.0,0.05
14,0.051075249910354614,-2.235840082168579,28.0,0.05
19,0.04800443723797798,-2.1124658584594727,28.0,0.05
24,0.045357897877693176,-2.1186423301696777,28.0,0.05
29,0.045156080275774,-2.061166763305664,28.0,0.05
34,0.045897796750068665,-2.081238269805908,28.0,0.05
39,0.04540974646806717,-2.0948846340179443,28.0,0.05
44,0.045331597328186035,-2.1245667934417725,28.0,0.05
49,0.04495280608534813,-2.1129393577575684,28.0,0.05
54,0.044956374913454056,-2.0788519382476807,28.0,0.05
59,0.045065321028232574,-2.1072301864624023,28.0,0.05
64,0.04509866237640381,-2.100620746612549,28.0,0.05
69,0.04509326070547104,-2.0962412357330322,28.0,0.05
74,0.0444183424115181,-2.076638698577881,28.0,0.05
79,0.045099515467882156,-2.090959072113037,28.0,0.05
84,0.045770153403282166,-2.1142656803131104,28.0,0.05
89,0.045292168855667114,-2.074542999267578,28.0,0.05
94,0.04484330490231514,-2.0924863815307617,28.0,0.05
99,0.04439150169491768,-2.070202589035034,28.0,0.05
