epoch,distortion_loss,accuracy,rate,lambda
4,0.05589570105075836,0.8652,12.0,0.05
9,0.05331885814666748,0.8859,12.0,0.05
14,0.046105388551950455,0.9037,12.0,0.05
19,0.06376788020133972,0.9075,12.0,0.05
24,0.05832739546895027,0.9151,12.0,0.05
29,0.057394616305828094,0.9214,12.0,0.05
34,0.05537944287061691,0.9232,12.0,0.05
39,0.05067022144794464,0.9244,12.0,0.05
44,0.053201403468847275,0.9235,12.0,0.05
49,0.054140057414770126,0.9253,12.0,0.05
54,0.054238345474004745,0.9262,12.0,0.05
59,0.05269861966371536,0.9259,12.0,0.05
64,0.05315249040722847,0.9235,12.0,0.05
69,0.05334904044866562,0.9283,12.0,0.05
74,0.054565995931625366,0.9242,12.0,0.05
79,0.05395734682679176,0.9266,12.0,0.05
84,0.05245085433125496,0.9251,12.0,0.05
89,0.05385565757751465,0.9272,12.0,0.05
94,0.05439061298966408,0.9255,12.0,0.05
99,0.05349324643611908,0.9234,12.0,0.05
